accuracy,loss,val_accuracy,val_loss,learning_rate
0.8644307851791382,0.29876938462257385,0.9232571721076965,0.1775301992893219,0.0010000000474974513
0.9332307577133179,0.16004610061645508,0.9660571217536926,0.09546399116516113,0.0010000000474974513
0.9560922980308533,0.1122039183974266,0.9717142581939697,0.07776686549186707,0.0010000000474974513
0.9679076671600342,0.08369382470846176,0.9751428365707397,0.06658243387937546,0.0010000000474974513
0.9727384448051453,0.07386370003223419,0.9728571176528931,0.07368458062410355,0.0010000000474974513
0.9784307479858398,0.06012896075844765,0.977485716342926,0.058761242777109146,0.0010000000474974513
0.9796307682991028,0.05540735647082329,0.9790857434272766,0.05839958041906357,0.0010000000474974513
0.982123076915741,0.04942851886153221,0.9802857041358948,0.05573064833879471,0.0010000000474974513
0.9848615527153015,0.04150386527180672,0.9688571691513062,0.08166386932134628,0.0010000000474974513
0.9872307777404785,0.035786621272563934,0.9798285961151123,0.054393358528614044,0.0010000000474974513
0.9870153665542603,0.0357033833861351,0.9815999865531921,0.052557069808244705,0.0010000000474974513
0.988738477230072,0.029019145295023918,0.9830856919288635,0.052400000393390656,0.0010000000474974513
0.9908615350723267,0.025498520582914352,0.9753714203834534,0.0686395913362503,0.0010000000474974513
0.9903384447097778,0.024777892976999283,0.9750857353210449,0.09720545262098312,0.0010000000474974513
0.9924923181533813,0.020304737612605095,0.9722856879234314,0.0745130404829979,0.0010000000474974513
0.9960307478904724,0.011026488617062569,0.9832571148872375,0.05688052624464035,0.0005000000237487257
0.9977846145629883,0.006973819807171822,0.982457160949707,0.06797179579734802,0.0005000000237487257
0.998276948928833,0.005457866005599499,0.9834856986999512,0.06968613713979721,0.0005000000237487257
0.9987999796867371,0.004188425838947296,0.9829714298248291,0.07694008201360703,0.0002500000118743628
0.9989538192749023,0.0039260913617908955,0.9839428663253784,0.07152499258518219,0.0002500000118743628
0.9986768960952759,0.004423357080668211,0.980914294719696,0.07170923054218292,0.0002500000118743628
0.9992615580558777,0.003058787900954485,0.9829714298248291,0.07313644886016846,0.0001250000059371814
0.99935382604599,0.002492289524525404,0.9825714230537415,0.08349338173866272,0.0001250000059371814
0.9993846416473389,0.00247197481803596,0.9833714365959167,0.07194149494171143,0.0001250000059371814
0.9993846416473389,0.0027667598333209753,0.9836571216583252,0.06945567578077316,6.25000029685907e-05
0.9993846416473389,0.0022060854826122522,0.9833142757415771,0.0774717852473259,6.25000029685907e-05
