loss,mae,val_loss,val_mae,learning_rate
0.2723056972026825,0.45914629101753235,0.49569734930992126,0.5811131596565247,0.0010000000474974513
0.12940077483654022,0.29477182030677795,0.1599738746881485,0.278385728597641,0.0010000000474974513
0.09740424901247025,0.24530862271785736,0.0952957347035408,0.23142698407173157,0.0010000000474974513
0.08158266544342041,0.2184472382068634,0.06269514560699463,0.17968766391277313,0.0010000000474974513
0.07244498282670975,0.2024269551038742,0.0531519278883934,0.15958340466022491,0.0010000000474974513
0.06387750804424286,0.18806378543376923,0.05185145139694214,0.15513752400875092,0.0010000000474974513
0.060937702655792236,0.18214377760887146,0.049532435834407806,0.15351362526416779,0.0010000000474974513
0.05583203211426735,0.1731669008731842,0.049044203013181686,0.14349894225597382,0.0010000000474974513
0.05353108048439026,0.1695052534341812,0.06356929987668991,0.16445696353912354,0.0010000000474974513
0.04905266314744949,0.16086818277835846,0.04048756882548332,0.13203798234462738,0.0010000000474974513
0.04614931717514992,0.15571261942386627,0.04768126457929611,0.13754455745220184,0.0010000000474974513
0.04292746260762215,0.15060873329639435,0.043197568506002426,0.13509157299995422,0.0010000000474974513
0.04144459590315819,0.14764559268951416,0.045169033110141754,0.12963148951530457,0.0010000000474974513
0.03295329585671425,0.13185447454452515,0.034164343029260635,0.1132521703839302,0.0005000000237487257
0.03066936321556568,0.12774161994457245,0.03969026356935501,0.11902711540460587,0.0005000000237487257
0.029131805524230003,0.12494181096553802,0.03986077755689621,0.11873959749937057,0.0005000000237487257
0.028642931953072548,0.12365655601024628,0.03279530256986618,0.10885404050350189,0.0005000000237487257
0.02722310833632946,0.12139511853456497,0.034403495490550995,0.11526011675596237,0.0005000000237487257
0.025305069983005524,0.1177353784441948,0.0357467383146286,0.11692619323730469,0.0005000000237487257
0.024513764306902885,0.1159563735127449,0.037487439811229706,0.11339793354272842,0.0005000000237487257
0.021770894527435303,0.10950129479169846,0.031356584280729294,0.10434471070766449,0.0002500000118743628
0.02135029435157776,0.10844637453556061,0.03022262640297413,0.10014276951551437,0.0002500000118743628
0.020036423578858376,0.10594240576028824,0.029928110539913177,0.09879391640424728,0.0002500000118743628
0.019607868045568466,0.10492175072431564,0.030209647491574287,0.10002810508012772,0.0002500000118743628
0.01937553845345974,0.10389929264783859,0.03397475183010101,0.10470686107873917,0.0002500000118743628
0.018487172201275826,0.10223652422428131,0.029163643717765808,0.09793359041213989,0.0002500000118743628
0.01801452413201332,0.10094574093818665,0.03342580422759056,0.11013346910476685,0.0002500000118743628
0.01796363666653633,0.10066266357898712,0.032035067677497864,0.10154283791780472,0.0002500000118743628
0.01795339584350586,0.10015252977609634,0.03425560146570206,0.10431338101625443,0.0002500000118743628
0.016233596950769424,0.0959315076470375,0.02911824733018875,0.0932946503162384,0.0001250000059371814
