loss,mae,val_loss,val_mae
6.728590488433838,6.728590488433838,4.636651039123535,4.636651039123535
4.166608810424805,4.166608810424805,3.5393505096435547,3.5393505096435547
3.3813679218292236,3.3813679218292236,3.0254452228546143,3.0254452228546143
2.9633963108062744,2.9633963108062744,3.0388903617858887,3.0388903617858887
2.745284080505371,2.745284080505371,2.7610576152801514,2.7610576152801514
2.5094408988952637,2.5094408988952637,2.5102245807647705,2.5102245807647705
2.3910491466522217,2.3910491466522217,2.2667415142059326,2.2667415142059326
2.288149833679199,2.288149833679199,2.327577829360962,2.327577829360962
2.1321053504943848,2.1321053504943848,2.1202125549316406,2.1202125549316406
2.0943117141723633,2.0943117141723633,2.1257662773132324,2.1257662773132324
1.964125633239746,1.964125633239746,2.052461862564087,2.052461862564087
1.937639832496643,1.937639832496643,1.8651992082595825,1.8651992082595825
1.8225566148757935,1.8225566148757935,1.9748256206512451,1.9748256206512451
1.787509560585022,1.787509560585022,1.8853294849395752,1.8853294849395752
1.7010412216186523,1.7010412216186523,2.1348624229431152,2.1348624229431152
1.659010887145996,1.659010887145996,1.8695687055587769,1.8695687055587769
1.6084160804748535,1.6084160804748535,1.6901105642318726,1.6901105642318726
1.561017394065857,1.561017394065857,1.7574279308319092,1.7574279308319092
1.5797646045684814,1.5797646045684814,1.745041847229004,1.745041847229004
1.5222246646881104,1.5222246646881104,1.6340410709381104,1.6340410709381104
1.4798698425292969,1.4798698425292969,2.0541980266571045,2.0541980266571045
1.4196175336837769,1.4196175336837769,1.6559244394302368,1.6559244394302368
1.390572428703308,1.390572428703308,1.577993392944336,1.577993392944336
1.3711585998535156,1.3711585998535156,1.5401705503463745,1.5401705503463745
1.3442308902740479,1.3442308902740479,1.564803123474121,1.564803123474121
1.3330316543579102,1.3330316543579102,1.5326536893844604,1.5326536893844604
1.2940481901168823,1.2940481901168823,1.5159454345703125,1.5159454345703125
1.2596280574798584,1.2596280574798584,1.5359019041061401,1.5359019041061401
1.2590229511260986,1.2590229511260986,1.5370393991470337,1.5370393991470337
1.2301527261734009,1.2301527261734009,1.4419341087341309,1.4419341087341309
