accuracy,loss,val_accuracy,val_loss
0.894266664981842,0.2608553171157837,0.9379500150680542,0.13457810878753662
0.9484999775886536,0.11740157753229141,0.9532999992370605,0.10797140747308731
0.9625999927520752,0.08879077434539795,0.9473999738693237,0.11210402846336365
0.9703666567802429,0.07350682467222214,0.9552500247955322,0.09843902289867401
0.9777666926383972,0.05687717720866203,0.9662500023841858,0.08270306140184402
0.9812666773796082,0.0474153570830822,0.9706500172615051,0.07361215353012085
0.9829333424568176,0.04391806200146675,0.9666000008583069,0.09212248027324677
0.9850999712944031,0.03793907165527344,0.9706500172615051,0.07542867213487625
0.9897000193595886,0.029037468135356903,0.9739999771118164,0.07064764201641083
0.9896000027656555,0.027824679389595985,0.974399983882904,0.06879077851772308
0.9916666746139526,0.022867411375045776,0.9766499996185303,0.07216443866491318
0.9932666420936584,0.019635703414678574,0.9753000140190125,0.0747353658080101
0.9923999905586243,0.020963357761502266,0.9761000275611877,0.07208118587732315
0.9941999912261963,0.01615135744214058,0.9783999919891357,0.06395750492811203
0.9941333532333374,0.01596909761428833,0.9776999950408936,0.07128947973251343
0.9935333132743835,0.01716732606291771,0.9768999814987183,0.06995127350091934
0.9947999715805054,0.014884463511407375,0.9760000109672546,0.08078663051128387
0.9949333071708679,0.013725916855037212,0.9782999753952026,0.06994621455669403
0.9949666857719421,0.013120119459927082,0.9782000184059143,0.07404805719852448
0.9963666796684265,0.010444647632539272,0.9779499769210815,0.07330235838890076
0.9964333176612854,0.009659485891461372,0.9768499732017517,0.09075284749269485
0.9954666495323181,0.013367312960326672,0.9718999862670898,0.09384072571992874
0.9946666955947876,0.01355056744068861,0.9769499897956848,0.08062755316495895
0.9972666501998901,0.0074286088347435,0.9790499806404114,0.0830020010471344
0.9982666373252869,0.005956125445663929,0.9757500290870667,0.08776538074016571
0.9940999746322632,0.016999870538711548,0.9763500094413757,0.09342195838689804
0.996566653251648,0.010272148065268993,0.970550000667572,0.10977084934711456
0.9971666932106018,0.00892119761556387,0.9765999913215637,0.1030246913433075
0.9990000128746033,0.0034310531336814165,0.9775999784469604,0.08640792965888977
0.9970333576202393,0.007860549725592136,0.9793999791145325,0.08233436197042465
