loss,mae,val_loss,val_mae
8.229639053344727,8.229639053344727,6.214633464813232,6.214633464813232
5.781746864318848,5.781746864318848,5.28158712387085,5.28158712387085
5.0992937088012695,5.0992937088012695,4.92520809173584,4.92520809173584
4.716937065124512,4.716937065124512,4.615277290344238,4.615277290344238
4.44848108291626,4.44848108291626,4.438056468963623,4.438056468963623
4.236246109008789,4.236246109008789,4.313952445983887,4.313952445983887
4.066953659057617,4.066953659057617,4.159225940704346,4.159225940704346
3.9424355030059814,3.9424355030059814,4.0807576179504395,4.0807576179504395
3.838268280029297,3.838268280029297,3.99688720703125,3.99688720703125
3.7252910137176514,3.7252910137176514,4.069356441497803,4.069356441497803
3.6485047340393066,3.6485047340393066,3.940476655960083,3.940476655960083
3.563392162322998,3.563392162322998,3.81868314743042,3.81868314743042
3.4967472553253174,3.4967472553253174,3.7169981002807617,3.7169981002807617
3.4290456771850586,3.4290456771850586,3.666078567504883,3.666078567504883
3.354487419128418,3.354487419128418,3.627464532852173,3.627464532852173
3.3224937915802,3.3224937915802,3.620596170425415,3.620596170425415
3.268958568572998,3.268958568572998,3.56530499458313,3.56530499458313
3.217597723007202,3.217597723007202,3.4899203777313232,3.4899203777313232
3.187985897064209,3.187985897064209,3.52563738822937,3.52563738822937
3.1301944255828857,3.1301944255828857,3.677203416824341,3.677203416824341
3.0967655181884766,3.0967655181884766,3.427384376525879,3.427384376525879
3.0428807735443115,3.0428807735443115,3.4354214668273926,3.4354214668273926
3.036444902420044,3.036444902420044,3.4600489139556885,3.4600489139556885
2.9942872524261475,2.9942872524261475,3.403385639190674,3.403385639190674
2.932131052017212,2.932131052017212,3.3969008922576904,3.3969008922576904
2.9108877182006836,2.9108877182006836,3.327719211578369,3.327719211578369
2.8797178268432617,2.8797178268432617,3.254657745361328,3.254657745361328
2.8347461223602295,2.8347461223602295,3.2880117893218994,3.2880117893218994
2.8575408458709717,2.8575408458709717,3.280832529067993,3.280832529067993
2.7987983226776123,2.7987983226776123,3.3269875049591064,3.3269875049591064
