loss,mae,val_loss,val_mae
8.916728973388672,8.916728973388672,6.898094654083252,6.898094654083252
6.530635356903076,6.530635356903076,6.082103729248047,6.082103729248047
5.891550540924072,5.891550540924072,5.620039939880371,5.620039939880371
5.476047039031982,5.476047039031982,5.361900329589844,5.361900329589844
5.152805805206299,5.152805805206299,5.001918315887451,5.001918315887451
4.918729305267334,4.918729305267334,4.846989631652832,4.846989631652832
4.70664119720459,4.70664119720459,4.675687313079834,4.675687313079834
4.566595554351807,4.566595554351807,4.529574871063232,4.529574871063232
4.422092437744141,4.422092437744141,4.479617595672607,4.479617595672607
4.305401802062988,4.305401802062988,4.344244956970215,4.344244956970215
4.206313133239746,4.206313133239746,4.246433258056641,4.246433258056641
4.119832515716553,4.119832515716553,4.237239360809326,4.237239360809326
4.037031650543213,4.037031650543213,4.119234561920166,4.119234561920166
3.953350067138672,3.953350067138672,4.054340839385986,4.054340839385986
3.8822031021118164,3.8822031021118164,3.972216844558716,3.972216844558716
3.806809663772583,3.806809663772583,4.040852069854736,4.040852069854736
3.74954891204834,3.74954891204834,3.8816468715667725,3.8816468715667725
3.6976571083068848,3.6976571083068848,3.894746780395508,3.894746780395508
3.645761251449585,3.645761251449585,3.857377290725708,3.857377290725708
3.582780361175537,3.582780361175537,3.809375047683716,3.809375047683716
3.539785861968994,3.539785861968994,3.7755753993988037,3.7755753993988037
3.496908664703369,3.496908664703369,3.762258291244507,3.762258291244507
3.45564341545105,3.45564341545105,3.718998908996582,3.718998908996582
3.425114154815674,3.425114154815674,3.680990219116211,3.680990219116211
3.4001059532165527,3.4001059532165527,3.6817612648010254,3.6817612648010254
3.35461163520813,3.35461163520813,3.6299643516540527,3.6299643516540527
3.330623149871826,3.330623149871826,3.6814558506011963,3.6814558506011963
3.2957992553710938,3.2957992553710938,3.599107503890991,3.599107503890991
3.2551920413970947,3.2551920413970947,3.659369468688965,3.659369468688965
3.2404251098632812,3.2404251098632812,3.5604453086853027,3.5604453086853027
