loss,mae,val_loss,val_mae
3.899672508239746,1.3921689987182617,1.01166570186615,0.702136218547821
0.8457956910133362,0.6294991970062256,0.6246394515037537,0.5562110543251038
0.460293173789978,0.47083160281181335,0.4248928725719452,0.4437594711780548
0.2796071171760559,0.3603326082229614,0.2969819903373718,0.375477135181427
0.1880161315202713,0.29099807143211365,0.23976843059062958,0.33649230003356934
0.14340783655643463,0.25664082169532776,0.21343067288398743,0.3227367103099823
0.11650154739618301,0.22683443129062653,0.2007661610841751,0.30548837780952454
0.09898645430803299,0.21244417130947113,0.18495599925518036,0.29814445972442627
0.08327720314264297,0.1931322067975998,0.1804216057062149,0.29047611355781555
0.07334359735250473,0.18048693239688873,0.16701377928256989,0.2854606807231903
0.06412682682275772,0.1680317521095276,0.16621118783950806,0.2733212411403656
0.056106071919202805,0.15863089263439178,0.1587209850549698,0.26963549852371216
0.050353702157735825,0.1501903086900711,0.1521674245595932,0.2658860385417938
0.043305903673172,0.13879570364952087,0.15020588040351868,0.2646540403366089
0.03848591446876526,0.12990830838680267,0.14661695063114166,0.25948649644851685
0.034598447382450104,0.12343085557222366,0.14538556337356567,0.25997471809387207
0.030945103615522385,0.11595168709754944,0.14365610480308533,0.25606799125671387
0.02721349708735943,0.11074896156787872,0.13754884898662567,0.25095975399017334
0.024279968813061714,0.1029200479388237,0.13948115706443787,0.2502831518650055
0.02110661193728447,0.09632553905248642,0.1354873776435852,0.2468017190694809
0.019395865499973297,0.09225239604711533,0.14147311449050903,0.24842976033687592
0.016704071313142776,0.08587472140789032,0.13247130811214447,0.24338974058628082
0.014544445089995861,0.08041946589946747,0.1326025426387787,0.24348628520965576
0.012936177663505077,0.07487863302230835,0.12983302772045135,0.2414875030517578
0.011237961240112782,0.07014397531747818,0.12955118715763092,0.23994134366512299
0.010270697996020317,0.067056804895401,0.12927918136119843,0.24061892926692963
0.009083755314350128,0.06363372504711151,0.12728770077228546,0.23920531570911407
0.008368764072656631,0.06013088300824165,0.12888124585151672,0.24055485427379608
0.007273614406585693,0.05651923269033432,0.12848623096942902,0.2414889931678772
0.006354147102683783,0.052702199667692184,0.12595781683921814,0.2410062849521637
